PRC1_BMI_UP.V1_DN,PRC2_EED_DN.V1_DN,PRC2_EZH2_UP.V1_DN,PRC2_SUZ12_UP.V1_DN,PRC2_EED_DN.V1_UP,PRC2_EZH2_UP.V1_UP,PRC2_SUZ12_UP.V1_UP,PRC1_BMI_UP.V1_UP
TNNT2,ASF1B,BARX1,ATP2A3,BAZ2B,ATF6,POMT2,GRIN2C
SNTG1,ARHGEF17,MXD3,SRSF11,CBR4,SRD5A1,ATXN1,H3C11
KMT2D,GALK1,RFC4,ROCK1,TNFRSF11A,ORAI2,FCN2,PAIP2B
MFSD6,SP1,IFIT1,TPT1P8,ELF1,KCNA2,PINLYP,LRRC8B
IMPG2,CCL18,PTGDS,MAP2K4,SLC28A1,CCR3,PRKG2,DPEP1
PRSS8,PTK2B,HCFC1R1,KXD1,ZNHIT2,OPA3,TRIM58,DMD
FKBP6,MVD,RNF19A,NLGN1,PTGDS,NES,FGF6,ZNF91
RAPGEF5,TGFBR1,PUS7,SLC12A5,ADGRF5,PAQR5,KCNN4,TNNI3K
LMOD1,CLSPN,LBR,SRD5A2,NPVF,TMC7,ZNF208,ZSWIM1
PRRG2,SYN1,CYP3A7,FOXJ1,CACNA2D3,CDCP1,TNFRSF1B,CLDN3
LINC02249,PWP2,TACC3,DFFB,ADRA1B,APOF,LCE2B,GALNT3
FLG,ZDHHC6,DOC2B,HAPLN2,IL1RL1,SLC35D2,CCDC87,AGO4
GPR183,MIA,ELP6,ORC1,MS4A4A,DUSP8,GATA1,PTCH2
LAMC3,PLXNB1,LEMD3,SHPRH,ASB4,FPR3,CHST11,TNFAIP3
UPK1A,VARS1,PLCD1,CD1D,RBM47,GMIP,THNSL2,KRT1
ATP8A2,LSS,CDH17,RAVER2,HIC2,TNFAIP6,PTCD2,ZNF423
PSD4,EHMT2,RHPN1-AS1,OR52A1,HIVEP2,ERAP2,NUP58,TOR1AIP2
NCR1,RDH5,DEF6,ONECUT2,IL13RA2,COL10A1,SLC39A2,TTLL4
MYH13,MAP3K6,GTPBP4,CHEK1,DKK2,LUZP4,POLM,PELI2
CCL18,WIZ,NCAPH,CRISP1,TAF11,ATXN1,ZNF550,CHD7
CIITA,PNPLA3,CENPF,ZIC4,CLIP1,KLK7,CYP1B1,GADD45G
KIR2DL3,PHKG2,KIF4A,RECQL4,PTPRT,CLEC4E,SST,RIC3
FOXJ1,CDK18,ELL2,GNA15,WDR33,PTHLH,MYT1,GABRA4
LRRC37A4P,APLP1,BCCIP,AGER,SCN10A,ANPEP,CBX8,CCR3
SLC22A6,FKBP5,ACTC1,CFAP70,VTN,CDADC1,ETV4,EDN1
PROP1,TACC3,GALR3,GUCY1B1,CCSER2,EREG,PAQR6,HBA2
SPINT1,INSIG1,HAS2,CHRNA6,P2RX2,CROT,PDE6A,DELEC1
FAM106A,IDH2,CEBPE,ZWILCH,SERPINB7,MT4,SLC6A15,SCTR
HCRTR2,RANGAP1,OCEL1,MAP1LC3C,LXN,PCTP,KCNJ15,ABCB4
PLXNB3,THRAP3,H3C7,SLC17A3,GSG1,KIAA0895,NKX6-1,PAX5
CALCA,PDCD1LG2,NUP43,DRP2,CLCA1,PIR,CD70,IKZF2
SV2B,TNIP1,KNTC1,COQ8B,CBX8,KIAA0513,TRPC6,SDCCAG8
CYP3A7,GPR176,NLGN1,ADCY2,ZP4,MTMR10,SLC6A9,YBX2
GUSBP11,DLK2,ECT2,SYN3,ADGRL4,TTLL7,CALML4,SIM2
CLIC3,DNAJB2,TTK,EVPL,KIF1B,B4GALNT1,C2orf27A,THNSL2
EDN2,ARHGAP19,NFIB,ARF1P1,IFI6,KLF13,PKD2L1,GNL3LP1
PYCARD,KIF23,RDH5,KLF15,ZNF91,SHISAL1,STAT5A,COL13A1
MAPK3,RAD54L2,AURKB,ACVRL1,MTSS1,NR3C2,FMNL1,H3C12
PCK1,CA9,PILRB,ST3GAL1,KMT5B,KCNJ10,TMEM187,FAM153A
GVINP1,ALG12,SYP,MC5R,CTSO,OSGIN1,GUCY1A1,CCL8
SYN3,POLA2,NUP37,OPCML,NIBAN1,JUP,GIMAP4,RFPL2
STMN3,HIC1,CDT1,IGKV3D-15,CCL16,FOLR3,UPK3B,C22orf46
MTHFS,NUP188,POLR3G,OR10J1,ZNF177,NR4A2,PTGIR,MMP25
PLA1A,SLC9A3R2,FCN3,SLC7A6,CDRT4,ABLIM3,PSMB8,PAX6
CXCR6,GLI1,PDCD4-AS1,NAA10,SLC5A5,TUB,CFB,LPAR3
ZNF771,PTGER2,PCK2,DCX,RASL12,HYAL3,ECM2,ZBTB10
CABP2,MCM5,OLFML2B,CHN2,CORO2B,SMPDL3A,ST18,ADAP2
HLA-DPB1,FBXL6,MEFV,KALRN,TSPAN13,BHMT2,GRP,ZNF184
NXT2,MRAS,FKBP6,LPCAT1,CLGN,ASIC2,CXCR3,TYR
DCC,ORC1,PTPRD,C22orf31,PDZRN4,ALDH1A2,BTN3A2,LRRC31
KCNC1,MYBL2,SYT11,MAPT,KLK6,NPC1L1,AGO4,KLHL1
GFAP,DCSTAMP,GNA15,WRN,SERINC5,UCP1,NEIL1,HCAR3
TM4SF20,TNK2,PRSS1,LILRA3,BACH1,NOVA1,TET3,IL5
SYN1,INKA2,SOAT2,CORO1A,CIDEA,SLC19A2,ALDH1A2,TRPC6
BPNT1,TUBGCP2,NMBR,PGK2,SEMA6D,MEGF9,SERGEF,DUSP2
E2F5,LRRC20,FKBP5,RITA1,REV3L,WDR37,POU2F1,KLHL28
PIK3C2G,ENO2,ATG16L1,ALOXE3,CDKN1C,COLEC10,ZRSR2P1,ACKR2
OR10H3,KLK8,ETS1,TFEC,NKIRAS2,VSNL1,OTUB2,PTGDS
CARD14,LMOD1,CRYBG2,USP2,OSGIN1,ANGPTL2,NPY4R,HIC2
KBTBD11,CHST3,COQ8B,BTBD7,GPC5,TMEM100,UCP1,HYAL3
GAS1,DBF4B,HMOX1,SCHIP1,CDHR2,KCNA1,HIGD1B,FAM86C1P
MON1B,RTL10,CPEB1,ARHGEF16,KCNQ2,POPDC3,ZNF324,CFAP69
LHX6,EXOSC2,PAGE4,CA7,ENPP2,POMT2,OSTM1,CDK17
PLIN1,HMOX1,DEPDC1,MEIS2,ACAP1,ZNF324,ZNF177,DENND5B
